County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Converse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goshen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laramie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natrona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niobrara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sublette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweetwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uinta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washakie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
